,url,Cost,Rooms,Square,Cost_per_m2,Floor,Floors_in_house,Address,Metro,Metro_distance,Date,Date_note
0,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_591m_88et._2810661037,9800000,2,59.1,165820,8,8,"Народная ул., 42к2",Ломоносовская,21–30 мин.,13.04.2023,27 минут назад
1,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_506m_89et._2884490866,7279000,2,50.6,143853,8,9,"ул. Дыбенко, 12к3",Улица Дыбенко,16–20 мин.,13.04.2023,39 минут назад
2,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_542m_817et._2538972710,9500000,2,54.2,175276,8,17,"ул. Коллонтай, 6к2",Проспект Большевиков,16–20 мин.,13.04.2023,36 минут назад
3,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_457m_25et._2986032810,6490000,2,45.7,142013,2,5,"ул. Кибальчича, 16к1",Пролетарская,21–30 мин.,13.04.2023,20 часов назад
4,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_53m_1415et._2868966708,13950000,2,53.0,263207,14,15,"Октябрьская наб., 34к2",Елизаровская,от 31 мин.,11.04.2023,2 дня назад
5,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_455m_25et._2944862038,5800000,2,45.5,127472,2,5,"пр-т Александровской Фермы, 7",Пролетарская,16–20 мин.,11.04.2023,2 дня назад
6,https://www.avito.ru/sankt-peterburg/kvartiry/auktsion_2-k._kvartira_502m_69et._2944475857,4562790,2,50.2,90892,6,9,"Товарищеский пр-т, 2к2",Проспект Большевиков,11–15 мин.,13.04.2023,35 минут назад
7,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_526m_45et._2823090572,7770000,2,52.6,147718,4,5,"Ивановская ул., 36",Ломоносовская,11–15 мин.,13.04.2023,2 часа назад
8,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_70m_1023et._2982446038,25000000,2,70.0,357142,10,23,"ул. Дыбенко, 2",Улица Дыбенко,21–30 мин.,13.04.2023,14 часов назад
9,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_509m_59et._2714306998,6800000,2,50.9,133595,5,9,"ул. Дыбенко, 12к1",Улица Дыбенко,11–15 мин.,13.04.2023,12 часов назад
10,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_602m_1416et._2445971133,9500000,2,60.2,157807,14,16,"ул. Еремеева, 5к2",Ладожская,21–30 мин.,13.04.2023,17 часов назад
11,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_57m_2122et._2878621010,9000000,2,57.0,157894,21,22,"территория Усть-Славянка, Советский пр-т, 43к1",Рыбацкое,21–30 мин.,13.04.2023,19 часов назад
