,url,Cost,Rooms,Square,Cost_per_m2,Floor,Floors_in_house,Address,Metro,Metro_distance,Date,Date_note
452,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_57m_49et._2970039844,14500000,2,57.0,254385,4,9,"ул. Полярников, 6",Ломоносовская,до 5 мин.,06.04.2023,1 неделю назад
459,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_501m_19et._2962772964,12000000,2,50.1,239520,1,9,"Искровский пр-т, 4к2",Проспект Большевиков,6–10 мин.,06.04.2023,1 неделю назад
207,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_544m_29et._2982232953,12000000,2,54.4,220588,2,9,"ул. Коллонтай, 26",Проспект Большевиков,6–10 мин.,12.04.2023,1 день назад
264,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_503m_89et._2808176750,10500000,2,50.3,208747,8,9,"Товарищеский пр-т, 22к1",Улица Дыбенко,11–15 мин.,10.04.2023,3 дня назад
677,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_507m_39et._2840722844,10340000,2,50.7,203944,3,9,"Шлиссельбургский пр-т, 31",Рыбацкое,6–10 мин.,23.03.2023,3 недели назад
806,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_501m_49et._2791042319,9700000,2,50.1,193612,4,9,"ул. Крыленко, 21к2",Улица Дыбенко,16–20 мин.,30.03.2023,2 недели назад
797,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_503m_19et._2508222061,9600000,2,50.3,190854,1,9,"Шлиссельбургский пр-т, 39к1",Рыбацкое,6–10 мин.,23.03.2023,3 недели назад
485,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_445m_89et._2992027930,8400000,2,44.5,188764,8,9,"Товарищеский пр-т, 22к1",Улица Дыбенко,11–15 мин.,06.04.2023,1 неделю назад
504,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_446m_79et._2695577588,8400000,2,44.6,188340,7,9,"ул. Дыбенко, 27к1",Улица Дыбенко,до 5 мин.,06.04.2023,1 неделю назад
785,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_458m_59et._2600367375,8500000,2,45.8,185589,5,9,"Народная ул., 6",Ломоносовская,16–20 мин.,30.03.2023,2 недели назад
736,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_458m_59et._2789937878,8500000,2,45.8,185589,5,9,"Народная ул., 6",Ломоносовская,16–20 мин.,06.04.2023,1 неделю назад
